reviews,reviewers,date_reviews,rating,course_id,course_name
This is best more useful for me,Abhishek S,2020-06-03,5,ai-for-everyone,AI For Everyone
Good explanation.  Short and interesting.,Joseph J,2020-04-25,5,ai-for-everyone,AI For Everyone
Good Learning,Akshay G,2020-05-30,4,ai-for-everyone,AI For Everyone
Great course!,Hazem A,2020-04-03,5,ai-for-everyone,AI For Everyone
Awesome Content.  Andrew is the best!!,Brian D,2019-07-04,5,ai-for-everyone,AI For Everyone
Is course very helpful for study of AI. I really appreciate it. Thanks so much ,Muhammad A K,2019-10-17,5,ai-for-everyone,AI For Everyone
It was fantastic course and i really got to know about AI. ,Himanshu M,2019-08-09,5,ai-for-everyone,AI For Everyone
A very good and learning course for someone who's willing to join and work for AI projects. This gives you a deep understanding of AI from the very scratch. ,Shruti S,2020-09-10,4,ai-for-everyone,AI For Everyone
"As always, Andrew explain the things about AI in a really easy way to understand. I really recommend ",Gabriel S,2019-03-27,5,ai-for-everyone,AI For Everyone
Very efficient and easy way to explain AI. Thank you .,Rahul D,2020-08-30,5,ai-for-everyone,AI For Everyone
Beginner Guide! Good!,Rohit S,2020-05-09,5,ai-for-everyone,AI For Everyone
very helpful in future,Muhammad A,2019-11-20,5,ai-for-everyone,AI For Everyone
The best way to understand AI in the most simplest way.,Rahul,2019-08-30,5,ai-for-everyone,AI For Everyone
"A great introduction for the AI technologies, but very short. I think some career paths/resources could be added. Recommended. ",Alejandro,2019-12-03,4,ai-for-everyone,AI For Everyone
"best course to start learning AI or should I say ANI and AGI! sometimes it felt like the course is only for the people working in industry, but no, it is for everyone. Thank you Andrew Ng. and Coursera for providing such great course!!!",Aditya K,2020-08-06,5,ai-for-everyone,AI For Everyone
Awesome Training,SHUBHAM S,2020-07-11,5,ai-for-everyone,AI For Everyone
"It's a very good introduction to having a view on the concepts and to the impacts on the technologies, jobs and also on society that the rise of the AI will imply on the next years.",Marco C,2019-10-04,5,ai-for-everyone,AI For Everyone
Great Course!,Khalid S,2019-03-09,5,ai-for-everyone,AI For Everyone
"The best course anyone can do for knowing what AI is ""really"" about. The instructor is so good at explaining things in a more realistic perspective. This course provides a broad view of AI in such a sort period of time. Thanks Andrew Ng! (and coursera of-course)",Omkar V S,2020-06-14,5,ai-for-everyone,AI For Everyone
Superb course,Sooraj S,2020-08-10,5,ai-for-everyone,AI For Everyone
"This is a very clear and concise course without all the hype. I can strongly recommend for anyone from beginner to intermediate.   I would also recommend for anyone in the ""AI-Industry"" who needs to explain  or present AI to a diverse audience about what AI is and how it works in a clear structured way.",Alexander P,2019-03-27,5,ai-for-everyone,AI For Everyone
good course for beginners..!,Abdul R,2019-10-21,4,ai-for-everyone,AI For Everyone
This is an awesome course to starting the journey with the understanding of AI. Thank deeplearning.ai for this course.,Faisal A,2019-06-02,5,ai-for-everyone,AI For Everyone
best,Vishal S,2020-08-04,5,ai-for-everyone,AI For Everyone
"Interesting course. I can feel that I added a new item to my skill set. I honestly didn't know much about AI before starting, while now I understand the basics of a totally new subject. Nice",Madalina G,2019-10-29,5,ai-for-everyone,AI For Everyone
Best learning opportunity....,Roshan A,2020-07-19,3,ai-for-everyone,AI For Everyone
This is the best course on AI for people who have no technical knowledge as well as people who have technical knowledge and want to enter in the field of AI.,Yash B,2020-07-26,5,ai-for-everyone,AI For Everyone
Great Course for beginning! ,Shubham C,2020-05-19,5,ai-for-everyone,AI For Everyone
"Nice course, with basic, but usefull content for all people. ",Juan P P,2020-01-13,5,ai-for-everyone,AI For Everyone
Amazing Course,Yash B,2019-05-20,5,algorithmic-toolbox,Algorithmic Toolbox
"This was a pretty great first into to algorithms. Took me from essentially no formal experience to feeling pretty confident about where I go from here (CLRS, cracking the coding interview, etc). The only feedback I have for the instructors are: some of the lecturers don't have good english and it borders on impacting the comprehensibility of the course. Usually the subtitles fill in the gaps -- but in the latter half of the course these are often wrong as well. Fixing these would be a huge help! Thanks for creating such a useful resource.",Kyle C,2018-06-26,5,algorithmic-toolbox,Algorithmic Toolbox
Do it for the questions.,Vasu M,2018-12-04,4,algorithmic-toolbox,Algorithmic Toolbox
Alhamdulillah.,MD S H,2020-09-24,4,algorithmic-toolbox,Algorithmic Toolbox
this is one of the best course for the computer science student and anyone who want to make program quickly and efficiently. Basically its a step to become professional programer.Thank you for providing this  course . ,Aman S,2017-09-21,5,algorithmic-toolbox,Algorithmic Toolbox
"I love the fact that this course is language agnostic and really lets you learn about the underlying algorithms that make our software run faster. It is challenging, but definitely worth it if you are fond of a specific language!",Christopher B,2016-08-02,5,algorithmic-toolbox,Algorithmic Toolbox
Very Good course. Best to prepare for campus placement tests.,Deepak G,2016-06-23,5,algorithmic-toolbox,Algorithmic Toolbox
Optional more difficult/advanced should be given otherwise good course,Akshay G,2020-05-12,4,algorithmic-toolbox,Algorithmic Toolbox
"In total, I learned a lot in the course. The programming assignments are really hard but if you stick with it, it is very worth. One thing I didn't like that much are the explanation videos - here, the team could improve. A bit more informal ""intuition"" explanation would help a lot to create a better understanding of the material (e.g. like Prof. Ng in the Machine Learning course!).",Paul B,2019-05-29,4,algorithmic-toolbox,Algorithmic Toolbox
Amazing,Md M H,2020-04-08,5,algorithmic-toolbox,Algorithmic Toolbox
This was my first taste of algorithm design--I loved it! The course was challenging but just easy enough for me to get through in an unfamiliar language.,David D,2017-02-10,5,algorithmic-toolbox,Algorithmic Toolbox
Great course! I really enjoyed taking it. I think it is very challenging and it definitly updates your algorithmic's skills and changes your thnking,Alexander,2016-07-26,5,algorithmic-toolbox,Algorithmic Toolbox
"I feel really challenged about this course, things were becoming tough but with the help of the videos i totally understood the main idea behind every algorithm taught",Manuel P,2019-01-19,5,algorithmic-toolbox,Algorithmic Toolbox
The best course for learning coding.,Praveen S,2017-02-24,5,algorithmic-toolbox,Algorithmic Toolbox
"Highly informative, touching on all the key areas while remaining succinct. Problem sets were excellent – only suggestion would be to add more of them.",Ryan C,2019-05-12,4,algorithmic-toolbox,Algorithmic Toolbox
Excellent course,Gowtham B,2018-08-29,5,algorithmic-toolbox,Algorithmic Toolbox
"Amazing course, learned a lot.There could be more practice problems instead of MCQs.",Kartik S,2020-04-11,4,algorithmic-toolbox,Algorithmic Toolbox
Graph Theory Algorithm is still not present hope the course will get updated with the graph theory.,PRITAM R,2020-05-24,4,algorithmic-toolbox,Algorithmic Toolbox
"Overall I like this course. The beginning of the course was very light and easy to follow. As the concepts got more in-depth, the weeks (namely 4 and 5) felt rushed and somewhat incomplete. Regardless, having never been exposed to this type of material, and for the price, I would recommend this course to anyone looking to get their feet wet with algorithms.",David M,2016-08-25,4,algorithmic-toolbox,Algorithmic Toolbox
Really helpful and quite enjoyable,Md A R,2020-08-23,5,algorithmic-toolbox,Algorithmic Toolbox
Excellent course on how to optimise your algorithm,Vivek R,2017-09-10,5,algorithmic-toolbox,Algorithmic Toolbox
"I loved this course! Very thorough and clear explanations of the concepts, and projects that were a stretch but at the same time I didn't feel thrown into the deep end. ",Christopher W,2020-02-01,5,algorithmic-toolbox,Algorithmic Toolbox
"A challenging but rewarding course. Not reccomended for beginners. Be sure to have a confident grasp of control flow statements and programming logic. As a beginner, some problems took me many hours to solve. I highly reccomend for people who have never been introduced to Algorithims before. ",Neil S,2020-08-05,5,algorithmic-toolbox,Algorithmic Toolbox
tough programming questions to practice,Aman S,2018-05-26,5,algorithmic-toolbox,Algorithmic Toolbox
"amazing course. if you are looking to know fundamental algorithms like DP, Greedy, divide and conquer this course is amazing. in my opinion, this course is essential for any software engineer but if you just started your way it is better to know how to write simple programmers and be confident with basic topics like loops, conditions ..etci recommend python for every body as a start if you have no knowledge ",Mohamed A,2019-08-26,5,algorithmic-toolbox,Algorithmic Toolbox
"Content is good, but could probably make it more fun to learn instead of just run through the theorem and pseudo code. The tone of the narrative is always the same like I am listening to someone with no emotion, and it sometimes makes me sleepy. Now I occasionally play the videos just to fall asleep faster. ",Alex,2020-08-25,3,algorithmic-toolbox,Algorithmic Toolbox
Good,Anurag G,2020-07-28,5,algorithmic-toolbox,Algorithmic Toolbox
"It's great course for the beginner who doesn't have many foundations of the algorithm, especially Dynamic Algorithms.",Nitish K,2020-06-05,4,algorithmic-toolbox,Algorithmic Toolbox
A good course to start learning data structure....highly recommended for beginners....introduced with all the data structure and more importantly practiced various type of algo.......TEACHER SHOULD CLEAR PROBLEM MORE EFFICIENTLY...,Mayank S,2020-03-11,5,algorithmic-toolbox,Algorithmic Toolbox
"Highly recommended for everyone from starters to advance coders. Focuses on the core concepts of solving a problem and provides the general solution. End of week assignments proves to be very useful and only after one understand the concepts and crack the problems, can he move forward.  ",Samyak J,2019-07-27,5,algorithmic-toolbox,Algorithmic Toolbox
amazing content an trainers,Arjun S,2020-09-27,5,algorithmic-toolbox,Algorithmic Toolbox
Great fundamentals course!,Kristen P,2020-03-16,5,algorithmic-toolbox,Algorithmic Toolbox
The problems were quite interesting and I faced a bit of difficulty in solving all of them because there's a lot of difference in writing algorithms and typing the code and I tried to cover that gap. Overall the lectures were very informative along with the quizzes and assignments . So I am very thankful to Coursera and all the professors who put in their efforts to enhance our problem solving skills.,Mohit M,2020-07-26,5,algorithmic-toolbox,Algorithmic Toolbox
Basic programming for data structures in some common programming languages would have been very much helpful especially for some who are starting with scratch,Nikhil R,2019-05-05,5,algorithmic-toolbox,Algorithmic Toolbox
i feel a bit of diificulty in understanding some concepts.But the assignments are top class.,Shashank P,2019-01-25,4,algorithmic-toolbox,Algorithmic Toolbox
"Really enjoyed it. Very challenging, and a great foundation. ",Michael F,2018-04-09,5,algorithmic-toolbox,Algorithmic Toolbox
Overall this was a good course. Some of the presenters need to work on their presentation skills (personally I had no problems with the accents). I also felt that the sections on dynamic programming seemed a bit rushed and I needed to spend a bit of time researching this on third parties before I felt comfortable completing the exercises.The grading system was really cool and the exercises seemed well thought-out and thorough. I'd recommend this course to existing developers without a computer science background. Those who want more mathematical rigour should look into the Tim Roughgarden/Stanford course.,Andrew B,2016-09-05,4,algorithmic-toolbox,Algorithmic Toolbox
"I love the fact that this course is language agnostic and really lets you learn about the underlying algorithms that make our software run faster. It is challenging, but definitely worth it if you are fond of a specific language!",Christopher B,2016-08-02,5,algorithmic-toolbox,Algorithmic Toolbox
good course for newbie in algorithms,Rishabh G,2020-09-10,4,algorithmic-toolbox,Algorithmic Toolbox
"Content is good, but could probably make it more fun to learn instead of just run through the theorem and pseudo code. The tone of the narrative is always the same like I am listening to someone with no emotion, and it sometimes makes me sleepy. Now I occasionally play the videos just to fall asleep faster. ",Alex,2020-08-25,3,algorithmic-toolbox,Algorithmic Toolbox
Very well structured. Sure to help learners!,Aditya S,2017-08-08,5,algorithmic-toolbox,Algorithmic Toolbox
"I one of the best courses out there, it is simply brilliant  ",Ajay D,2020-08-12,5,algorithmic-toolbox,Algorithmic Toolbox
Very Good Course,Vaibhav S,2019-12-12,5,algorithmic-toolbox,Algorithmic Toolbox
"A good course , programming assignments are also good , even the discussion forums are good. Tutorials are wonderful everything is explained very clearly and hints are given at each point overall good for computer science undergrad.",Shubham K,2016-11-02,5,algorithmic-toolbox,Algorithmic Toolbox
"I felt that the explanations related with Dynamic Programming were hard to understand and keep up with, i had to refer to external sources on the net and YouTube.Apart from that i learned quite a lot from this course, their were many at times were i found the explanations really easy to understand and intuitive. ",Nimit J,2020-07-22,4,algorithmic-toolbox,Algorithmic Toolbox
"A good course , programming assignments are also good , even the discussion forums are good. Tutorials are wonderful everything is explained very clearly and hints are given at each point overall good for computer science undergrad.",Shubham K,2016-11-02,5,algorithmic-toolbox,Algorithmic Toolbox
Excellent course with tons of exercises and interesting lectures.,Noah P,2016-03-01,5,algorithmic-toolbox,Algorithmic Toolbox
Amazing experience .Learnt a lot of things though couldn't complete 100% of all the assignments.,Saurabh M,2020-05-09,5,algorithmic-toolbox,Algorithmic Toolbox
"A great course in its own right but it also fills a void between the ""Learn <programming language>"" and using programming languages to analyze Big Data. The instructors have put together an excellent introduction to the wonderful, and scary, world of algorithms. I must admit I was ready to send my PC flying through the window on numerous occasions when I could not get my particular implementation of an algorithm to run within the time AND memory limits set by the instructors. More so, because often you are not told what particular test case made it fail. In the end, I believe this is a great approach to have learners really dive into the material and think about the various run times before submitting a particular solution. Well worth while your time!",Michael B,2016-05-29,5,algorithmic-toolbox,Algorithmic Toolbox
"Highly informative, touching on all the key areas while remaining succinct. Problem sets were excellent – only suggestion would be to add more of them.",Ryan C,2019-05-12,4,algorithmic-toolbox,Algorithmic Toolbox
Basic programming for data structures in some common programming languages would have been very much helpful especially for some who are starting with scratch,Nikhil R,2019-05-05,5,algorithmic-toolbox,Algorithmic Toolbox
"Great course, helped me in moving from brute-force to optimized solutions.",Rohit K,2019-07-23,4,algorithmic-toolbox,Algorithmic Toolbox
"It was a good course...But the gene problem was left to be solved and on top of all please take instructors so can speak british english,It was quite difficult to understand their accent.",Shubham C,2017-06-14,3,algorithmic-toolbox,Algorithmic Toolbox
Solid material.  Majority of the lectures are clear and are a nice logical progression.  I didn't have to resort to external materials apart from 1 problem.  I love that you're required to submit code that gets compiled & tested. It's a much better learning tool than just videos + multiple choice questions.  I'm looking forward to working through the other courses in this specialisation.,Jason G,2017-09-10,4,algorithmic-toolbox,Algorithmic Toolbox
Quite an engaging course to be honest!! Definitely recommend the course for beginners as well as people looking for brushing up of important paradigms.,Putcha L N R,2019-07-05,5,algorithmic-toolbox,Algorithmic Toolbox
Challenging and useful,Weiqi Y,2017-12-22,5,algorithmic-toolbox,Algorithmic Toolbox
Great course. Problems were quite fun. Would appreciate more if the recommended book was supplied with course instead of buying it separately,Ravi K,2018-07-15,4,algorithmic-toolbox,Algorithmic Toolbox
good,sai p,2020-08-25,5,algorithmic-toolbox,Algorithmic Toolbox
"A challenging but rewarding course. Not reccomended for beginners. Be sure to have a confident grasp of control flow statements and programming logic. As a beginner, some problems took me many hours to solve. I highly reccomend for people who have never been introduced to Algorithims before. ",Neil S,2020-08-05,5,algorithmic-toolbox,Algorithmic Toolbox
Real good exercises were provided and the explanation to all the algorithms was also detailed and to the point,shubham k,2019-11-26,4,algorithmic-toolbox,Algorithmic Toolbox
"Really enjoyed it. Very challenging, and a great foundation. ",Michael F,2018-04-09,5,algorithmic-toolbox,Algorithmic Toolbox
Great introduction to algorithms,Alex B,2019-01-15,5,algorithmic-toolbox,Algorithmic Toolbox
Excelent,Jorge M,2018-01-13,5,algorithmic-toolbox,Algorithmic Toolbox
"Great course! Helped me a lot, courses taught this well keep me motivated!",Alejandro R,2016-09-02,5,algorithmic-toolbox,Algorithmic Toolbox
"Really good content for beginners. Also, for intermediate coders, Week 4-6 are extremely good.",Yash M,2020-07-21,5,algorithmic-toolbox,Algorithmic Toolbox
this course is very useful. Every topic is covered here and the assignments were also very effective to check your concept.,Rohit J,2016-08-16,5,algorithmic-toolbox,Algorithmic Toolbox
good learning platform,Sachin M,2019-12-20,5,algorithmic-toolbox,Algorithmic Toolbox
Very helpful course! Goes over a lot of concepts I see come up with Comp Sci a,Alex B,2016-12-02,5,algorithmic-toolbox,Algorithmic Toolbox
"This is a great course, it is challenging",Sean L,2019-09-09,5,algorithmic-toolbox,Algorithmic Toolbox
It gets a bit hard but definitely worth the effort.,Aditya S,2019-08-25,5,algorithmic-toolbox,Algorithmic Toolbox
Anyone who want to develop skills of analyzing and developing algorithms must take this course.,Muhammad S,2017-09-24,5,algorithmic-toolbox,Algorithmic Toolbox
"This is a very good course. It is very difficult at first so I had to do it twice to complete it. It helps if you try to visualise the algorithms in your head, do them on paper and then try to write the pseudo code so it prints out all the steps that is being done.",Daniel,2017-11-04,5,algorithmic-toolbox,Algorithmic Toolbox
amazing course helpful enough,Shruti G,2020-04-03,4,algorithmic-toolbox,Algorithmic Toolbox
"This was a pretty great first into to algorithms. Took me from essentially no formal experience to feeling pretty confident about where I go from here (CLRS, cracking the coding interview, etc). The only feedback I have for the instructors are: some of the lecturers don't have good english and it borders on impacting the comprehensibility of the course. Usually the subtitles fill in the gaps -- but in the latter half of the course these are often wrong as well. Fixing these would be a huge help! Thanks for creating such a useful resource.",Kyle C,2018-06-26,5,algorithmic-toolbox,Algorithmic Toolbox
Very good homeworks.,Miguel R,2016-08-05,5,algorithmic-toolbox,Algorithmic Toolbox
An awesome course having the best content & appropriate knowledge. Will recommend to everyone. Thank you for such a wonderful piece.,AMAN S,2019-10-02,5,algorithmic-toolbox,Algorithmic Toolbox
Dynamic programming could have been solved and taught better.,Shivam S,2020-03-29,4,algorithmic-toolbox,Algorithmic Toolbox
Really iam so so so happy :) this course is the best course i met before :) <3 <3 <#,Mohamed A,2016-12-15,5,algorithmic-toolbox,Algorithmic Toolbox
"The last topic (dynamic programming) was significantly more challenging than everything else in the course. It was also a topic I have not had previous exposure too -- overall, a great course!",Daniel P,2017-12-24,5,algorithmic-toolbox,Algorithmic Toolbox
good ,Ram P,2020-08-11,5,algorithmic-toolbox,Algorithmic Toolbox
"This course is well-designed and delivered by the experienced instructors. It is particularly suitable for those who have some basic knowledge in programming (knowing how to use if-else if-else statements, for-loop and while-loop, etc.; knowing a little bit how to write a simple code in C, C++, Python or others) and would like to enhance his programming techniques through polishing his logical thinking ability while he is designing a algorithm.",Kevin K,2016-08-05,5,algorithmic-toolbox,Algorithmic Toolbox
Awesome course!!Worth doing this,M S,2019-09-16,5,algorithmic-toolbox,Algorithmic Toolbox
The problems were quite interesting and I faced a bit of difficulty in solving all of them because there's a lot of difference in writing algorithms and typing the code and I tried to cover that gap. Overall the lectures were very informative along with the quizzes and assignments . So I am very thankful to Coursera and all the professors who put in their efforts to enhance our problem solving skills.,Mohit M,2020-07-26,5,algorithmic-toolbox,Algorithmic Toolbox
This was really helpful. The level of questions and the quality of video tutorials were of top class. Worth a shot. Thank you Coursera. ,Sharad D,2017-09-11,5,algorithmic-toolbox,Algorithmic Toolbox
"Awesome course - one of my favorites I've done on Coursera. It's thorough yet clear. I also like that you can pass the course just by implementing the algorithms as shown in the lectures, but then each assignment has multiple additional problems which challenge you to think for yourself. Really great course design!",David F,2017-01-30,5,algorithmic-toolbox,Algorithmic Toolbox
"Great for review of algorithms. I've seen most of these in university Algorithms courses, but this was a great refresher. Coming back to these now, I have a greater understanding than when I first saw them.",Adam D,2020-01-13,4,algorithmic-toolbox,Algorithmic Toolbox
A very good introduction to Algorithmic techniques. Well worth the cost of entry!,Brett M,2016-03-21,5,algorithmic-toolbox,Algorithmic Toolbox
Great course! It would even greater if it would be more real-life-application-centric. ,Aditya R,2020-02-15,5,algorithmic-toolbox,Algorithmic Toolbox
Programming assignments are well calibrated in terms of difficulty and are where most of my learning happened. Alexander Kulikov stands out as a particularly good instructor.,Sean W,2017-07-09,5,algorithmic-toolbox,Algorithmic Toolbox
"I have zero business background and I found this course to be challenging enough that I learned something new, but it didn't take me that long to master the basics so I could starting talking about what I learned with my business-trained friends almost immediately.I did have to think carefully about the final assignment which was great for my learning. I also enjoyed marking other people's assignments and gaining new insights of the case from my fellow MOOC students.",Sarah M,2015-10-26,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
Great Course. I enjoyed being introduced to Business Metrics while taking this class.,De,2016-08-21,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
Great course !,minz,2016-01-03,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
"Great intro to the different types of data and very valuable information on what companies use what types of data, the real world jobs that they hire in the data world, etc.  Loved how practical the information was! ",Andrea B,2016-03-21,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
"Very good course, practical and very well explained !!! Glad to be enrolled in a very professional course with a high level of its teachers.",Walter R,2017-08-31,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
It is the perfect course to get started with business analytics. Professor Daniel Egger's way of explaining each and every point with an example really made it easy for me to understand every topic clearly.,Anirudh D,2020-06-07,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
Course is very well put together and presented clearly. It is a very basic introduction but a good stepping stone.  ,Michael G,2020-08-25,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
It was great,Walter R,2015-12-09,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
This was a good course - I have a finance background but it presented some new perspectives,Steve T,2016-01-15,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
Great Course. I enjoyed being introduced to Business Metrics while taking this class.,De,2016-08-21,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
Excellent teaching and great case study to end with !,Rajarathnam B,2017-11-02,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
Very informative and a good start to continue on to the next courses,Alex C,2017-01-10,4,analytics-business-metrics,Business Metrics for Data-Driven Companies
Solid introductory to business metrics and application.  Case studies presented nice foundation for linking metrics to process improvements that yield business results.,William A,2017-05-14,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
"Basic Knowledge, Everyone who want to get involve in Data analitycs, should get done this course.",Carlos P,2020-03-09,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
Great course. The only thing I would add is a handout with the formulas to calculate numeric metrics. Specially on the finance section.,Manuel G,2020-06-17,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
I really like how you don't need any prior experience.  I learned a lot.,Alexander S,2016-10-04,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
Great Course. I enjoyed being introduced to Business Metrics while taking this class.,De,2016-08-21,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
"Well designed, well taught. ",Lei C,2016-01-30,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
Awesome tool to understand the basics of why we're doing this specialization. This is the cornerstone of the right usage of the tools we can see in the upcoming courses. Highly recommended.,Javier C,2016-02-16,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
It would have been better if the final assignment was assessed by the instructor too.,Manoj J,2016-09-11,4,analytics-business-metrics,Business Metrics for Data-Driven Companies
Coursework enhanced my knowledge and armed me with information to speak with confident about the job I am pursuing next in my career. ,Linda C,2016-09-24,4,analytics-business-metrics,Business Metrics for Data-Driven Companies
Very god content and precisely covers all the main aspects of Business Metrics.,Rahul C,2018-08-06,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
Everyone can understand this course and relate to the things taught in their professional life. ,Rajan K,2017-05-09,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
"I learned about business metrics, the types of positions that use business metrics and the companies that employ them. I finished it in 4-5 days. ",Peter G,2019-08-21,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
"Well designed, well taught. ",Lei C,2016-01-30,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
The end examination could have been better. Please provide one more case let as the week 4 question,Shreyansh A,2020-02-16,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
I've taken many courses on relevant material but this was one of the most clear and concise material I came across.  ,Tanmay S,2020-08-12,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
wonderful course for starting business analytics. it helps me a lot and i also recommend this course to others who are trying to start their career in business analytics.,Amandeep S,2020-09-07,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
This is a good refresher course even for someone who's been doing data analytics for years.,Fonny J,2020-04-22,4,analytics-business-metrics,Business Metrics for Data-Driven Companies
Fantastic course!,Ponciano R,2018-06-05,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
Very good course to understand the various business metrics available to analyze for potential customers depending on their needs. Recommended.,Mauricio M,2020-05-16,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
"Well designed, well taught. ",Lei C,2016-01-30,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
Solid introductory to business metrics and application.  Case studies presented nice foundation for linking metrics to process improvements that yield business results.,William A,2017-05-14,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
"Great general overview on data analysis and common metrics used. However, there was a heavy emphasis on financials which becomes pretty technical and not explained clearly, so if you're not focused on financial data analysis I would pick another course.",aaron m,2019-07-23,3,analytics-business-metrics,Business Metrics for Data-Driven Companies
Great course!,Bishwaraj B,2019-01-15,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
e,Daniel M,2017-02-11,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
"Great general overview on data analysis and common metrics used. However, there was a heavy emphasis on financials which becomes pretty technical and not explained clearly, so if you're not focused on financial data analysis I would pick another course.",aaron m,2019-07-23,3,analytics-business-metrics,Business Metrics for Data-Driven Companies
Great course for getting an introduction into how businesses work!,Amir S,2015-11-18,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
It was really a nice cleat beginning in this specialization. The teacher was really great.,Mohamed A A,2020-06-21,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
It was great,Walter R,2015-12-09,5,analytics-business-metrics,Business Metrics for Data-Driven Companies
